ticker,weight
NSE:CRAMC,0.0756
NSE:ABSLAMC,0.0709
NSE:HINDCOPPER,0.0629
NSE:MANORAMA,0.0613
NSE:THYROCARE,0.0598
NSE:ECLERX,0.0540
NSE:ATLANTAELE,0.0540
NSE:NETWEB,0.0531
NSE:CHENNPETRO,0.0486
NSE:NAVINFLUOR,0.0456
NSE:THANGAMAYL,0.0452
NSE:SMLMAH,0.0438
NSE:ENGINERSIN,0.0427
NSE:TANLA,0.0415
NSE:SUMICHEM,0.0411
NSE:CHALET,0.0403
NSE:PRIVISCL,0.0401
NSE:WABAG,0.0400
NSE:PARKHOSPS,0.0399
NSE:GOKULAGRO,0.0395
NSE:CERA,0.0000
NSE:JAMNAAUTO,0.0000
NSE:EMCURE,0.0000
NSE:METROPOLIS,0.0000
NSE:CCL,0.0000
