ticker,weight
NSE:NETWEB,0.0596
NSE:THANGAMAYL,0.0580
NSE:HINDCOPPER,0.0513
NSE:MANORAMA,0.0508
NSE:ATLANTAELE,0.0497
NSE:CCL,0.0449
NSE:CHALET,0.0429
NSE:SUMICHEM,0.0411
NSE:CHENNPETRO,0.0406
NSE:NAVINFLUOR,0.0402
NSE:TANLA,0.0378
NSE:SMLMAH,0.0376
NSE:THYROCARE,0.0371
NSE:ECLERX,0.0367
NSE:ENGINERSIN,0.0361
NSE:JAMNAAUTO,0.0357
NSE:METROPOLIS,0.0354
NSE:GOKULAGRO,0.0353
NSE:PRIVISCL,0.0342
NSE:WABAG,0.0337
NSE:EMCURE,0.0335
NSE:PARKHOSPS,0.0332
NSE:CRAMC,0.0319
NSE:ABSLAMC,0.0316
NSE:CERA,0.0314
