ticker,weight
NSE:TMCV,0.0598
NSE:MCX,0.0591
NSE:HINDCOPPER,0.0537
NSE:CHENNPETRO,0.0527
NSE:SARDAEN,0.0522
NSE:VARROC,0.0520
NSE:MANORAMA,0.0516
NSE:NAVINFLUOR,0.0514
NSE:NETWEB,0.0513
NSE:LTFOODS,0.0496
NSE:SMLMAH,0.0494
NSE:LAURUSLABS,0.0490
NSE:ICICIAMC,0.0487
NSE:ENGINERSIN,0.0487
NSE:TEGA,0.0485
NSE:LUMAXTECH,0.0467
NSE:THYROCARE,0.0460
NSE:SUMICHEM,0.0450
NSE:CASTROLIND,0.0425
NSE:EMCURE,0.0422
NSE:DATAPATTNS,0.0000
NSE:CUPID,0.0000
NSE:TENNIND,0.0000
NSE:MSTCLTD,0.0000
NSE:KPIL,0.0000
NSE:AVALON,0.0000
NSE:CCL,0.0000
