
====================================================================
             Stock Selection & Rejection Explanation Report
====================================================================
Index/File:       microcap250
Strategy Preset:  multibagger
Generated:        2026-07-19 21:28:15 IST
====================================================================

--- SUMMARY ---
Initial pool size:              251 constituents
Passed Safety/Hard Filters:     21 stocks
Eliminated by Safety Filters:   230 stocks
Eliminated by Sector Caps:      1 stocks
Eliminated by Rank Limits:      0 stocks
Final Selected Stocks:          20 stocks

=============================================================================================================
                                               SELECTED STOCKS
=============================================================================================================
Ticker           | Sector               | Score  | Raw Rank | Weight Decided | Selection Reason
-------------------------------------------------------------------------------------------------------------
NSE:THANGAMAYL   | Consumer Cyclical    |  69.2  | 1        | 6.74%          | Retained via hysteresis (Rank 1 <= 20)
NSE:ATLANTAELE   | Industrials          |  66.0  | 2        | 6.43%          | Retained via hysteresis (Rank 2 <= 20)
NSE:MANORAMA     | Consumer Defensive   |  64.9  | 3        | 6.31%          | Retained via hysteresis (Rank 3 <= 20)
NSE:TANLA        | Technology           |  62.4  | 4        | 6.07%          | Retained via hysteresis (Rank 4 <= 20)
NSE:METROPOLIS   | Healthcare           |  56.2  | 5        | 5.47%          | New addition (Rank 5)
NSE:BORORENEW    | Technology           |  55.0  | 6        | 5.35%          | New addition (Rank 6)
NSE:ARVIND       | Consumer Cyclical    |  52.0  | 7        | 5.06%          | New addition (Rank 7)
NSE:GOKULAGRO    | Consumer Defensive   |  51.4  | 8        | 5.00%          | Retained via hysteresis (Rank 8 <= 20)
NSE:CERA         | Industrials          |  50.7  | 9        | 4.93%          | New addition (Rank 9)
NSE:SMLMAH       | Consumer Cyclical    |  50.0  | 10       | 4.87%          | Retained via hysteresis (Rank 10 <= 20)
NSE:THYROCARE    | Healthcare           |  49.6  | 11       | 4.82%          | Retained via hysteresis (Rank 11 <= 20)
NSE:WABAG        | Industrials          |  48.1  | 12       | 4.68%          | Retained via hysteresis (Rank 12 <= 20)
NSE:JAMNAAUTO    | Consumer Cyclical    |  47.3  | 13       | 4.60%          | Retained via hysteresis (Rank 13 <= 20)
NSE:GRINDWELL    | Industrials          |  46.3  | 14       | 4.51%          | New addition (Rank 14)
NSE:PRIVISCL     | Basic Materials      |  46.1  | 15       | 4.48%          | Retained via hysteresis (Rank 15 <= 20)
NSE:PARKHOSPS    | Healthcare           |  44.0  | 16       | 4.28%          | Retained via hysteresis (Rank 16 <= 20)
NSE:CRAMC        | Financial Services   |  43.9  | 17       | 4.27%          | New addition (Rank 17)
NSE:AVANTIFEED   | Consumer Defensive   |  43.2  | 18       | 4.20%          | New addition (Rank 18)
NSE:PRUDENT      | Financial Services   |  42.8  | 19       | 4.17%          | New addition (Rank 19)
NSE:DATAMATICS   | Technology           |  38.5  | 21       | 3.75%          | New addition (Rank 20)

=============================================================================================
                               REMOVED ACTIVE HOLDINGS (EXITS)
=============================================================================================
Ticker           | Sector               | Score  | Raw Rank | Exit Reason
---------------------------------------------------------------------------------------------
NSE:CCL          | Unknown              | N/A    | N/A      | Dropped due to unknown reason
NSE:CHALET       | Unknown              | N/A    | N/A      | Dropped due to unknown reason
NSE:CHENNPETRO   | Unknown              | N/A    | N/A      | Dropped due to unknown reason
NSE:ECLERX       | Unknown              | N/A    | N/A      | Dropped due to unknown reason
NSE:ENGINERSIN   | Unknown              | N/A    | N/A      | Dropped due to unknown reason
NSE:HINDCOPPER   | Unknown              | N/A    | N/A      | Dropped due to unknown reason
NSE:NAVINFLUOR   | Unknown              | N/A    | N/A      | Dropped due to unknown reason
NSE:NETWEB       | Unknown              | N/A    | N/A      | Dropped due to unknown reason
NSE:SUMICHEM     | Unknown              | N/A    | N/A      | Dropped due to unknown reason

=============================================================================================
                                  REJECTED NEW CANDIDATES
=============================================================================================
Ticker           | Sector               | Score  | Raw Rank | Rejection Reason
---------------------------------------------------------------------------------------------
NSE:WAAREERTL    | Industrials          |  40.3  | 20       | Sector cap for 'Industrials' exceeded (3/3 slots filled by NSE:ATLANTAELE, NSE:CERA, NSE:WABAG, NSE:GRINDWELL)

=============================================================================================
                               SAFETY & FUNDAMENTAL ELIMINATIONS
=============================================================================================
Ticker           | Rejection Reason
---------------------------------------------------------------------------------------------
NSE:AARTIDRUGS   | Low CROIC (3.8% < 6.0% limit)
NSE:AARTIPHARM   | Below 200-Day SMA (Downtrend)
NSE:ACI          | Below 200-Day SMA (Downtrend)
NSE:ADVENZYMES   | Low Capital Efficiency (ROCE < 12.0%)
NSE:AEQUS        | Cash Flow Quality check failed (Operating/Free Cash Flow <= 0, or CFO/PAT ratio low)
NSE:AETHER       | Low Capital Efficiency (ROCE < 12.0%)
NSE:AGARWALEYE   | Low Capital Efficiency (ROCE < 12.0%)
NSE:AGL          | Low promoter stake (0.0% < 25.0% limit)
NSE:AHLUCONT     | Below 200-Day SMA (Downtrend)
NSE:AKUMS        | Low Capital Efficiency (ROCE < 12.0%)
NSE:ALIVUS       | Operational Criteria failed: only 0/3 criteria met (Sales Acceleration: false, Asset Turnover expansion: false, DSO improvement: false)
NSE:ALKYLAMINE   | CapEx YoY reinvestment growth limit exceeded (reinvest multiplier: 2.00)
NSE:ALOKINDS     | Below 200-Day SMA (Downtrend)
NSE:ANUP         | Cash Flow Quality check failed (Operating/Free Cash Flow <= 0, or CFO/PAT ratio low)
NSE:APLLTD       | Low CROIC (4.1% < 6.0% limit)
NSE:APOLLO       | Cash Flow Quality check failed (Operating/Free Cash Flow <= 0, or CFO/PAT ratio low)
NSE:ARVINDFASN   | Below 200-Day SMA (Downtrend)
NSE:ASHAPURMIN   | Low CROIC (5.9% < 6.0% limit)
NSE:ASHOKA       | Below 200-Day SMA (Downtrend)
NSE:ASKAUTOLTD   | Low CROIC (-9.2% < 6.0% limit)
NSE:ASTRAMICRO   | Operational Criteria failed: only 1/3 criteria met (Sales Acceleration: false, Asset Turnover expansion: false, DSO improvement: true)
NSE:AURIONPRO    | Below 200-Day SMA (Downtrend)
NSE:AVALON       | Low CROIC (0.4% < 6.0% limit)
NSE:AVL          | Low CROIC (3.1% < 6.0% limit)
NSE:AWFIS        | Below 200-Day SMA (Downtrend)
NSE:AXISCADES    | Cash Flow Quality check failed (Operating/Free Cash Flow <= 0, or CFO/PAT ratio low)
NSE:AZAD         | Cash Flow Quality check failed (Operating/Free Cash Flow <= 0, or CFO/PAT ratio low)
NSE:BAJAJELEC    | Below 200-Day SMA (Downtrend)
NSE:BALAMINES    | Low Capital Efficiency (ROCE < 12.0%)
NSE:BALUFORGE    | Cash Flow Quality check failed (Operating/Free Cash Flow <= 0, or CFO/PAT ratio low)
NSE:BANCOINDIA   | Below 200-Day SMA (Downtrend)
NSE:BBOX         | Low Interest Coverage (ratio < 3.0)
NSE:BECTORFOOD   | Below 200-Day SMA (Downtrend)
NSE:BIRLACORPN   | Below 200-Day SMA (Downtrend)
NSE:BLACKBUCK    | Low promoter stake (24.3% < 25.0% limit)
NSE:BLUESTONE    | Cash Flow Quality check failed (Operating/Free Cash Flow <= 0, or CFO/PAT ratio low)
NSE:CAMPUS       | Below 200-Day SMA (Downtrend)
NSE:CAPILLARY    | Low Capital Efficiency (ROCE < 12.0%)
NSE:CCAVENUE     | Low Capital Efficiency (ROCE < 12.0%)
NSE:CELLO        | Below 200-Day SMA (Downtrend)
NSE:CENTURYPLY   | Low CROIC (1.0% < 6.0% limit)
NSE:CMSINFO      | Low promoter stake (7.7% < 25.0% limit)
NSE:CORONA       | Market Cap limit check failed (Market Cap: 0Cr)
NSE:CRIZAC       | Below 200-Day SMA (Downtrend)
NSE:CSBBANK      | Cash Flow Quality check failed (Operating/Free Cash Flow <= 0, or CFO/PAT ratio low)
NSE:CUPID        | Low CROIC (4.2% < 6.0% limit)
NSE:DBL          | Below 200-Day SMA (Downtrend)
NSE:DBREALTY     | Below 200-Day SMA (Downtrend)
NSE:DCBBANK      | Cash Flow Quality check failed (Operating/Free Cash Flow <= 0, or CFO/PAT ratio low)
NSE:DIACABS      | Cash Flow Quality check failed (Operating/Free Cash Flow <= 0, or CFO/PAT ratio low)
NSE:DYNAMATECH   | Low Capital Efficiency (ROCE < 12.0%)
NSE:EDELWEISS    | Low Capital Efficiency (ROCE < 12.0%)
